이전 단계로 돌아갈 수 없다는 전제하에 각 단계를 확실히 해듭짓고 그 결과를 철저하게 검토하여 승인 과정을 거친 후에 다음 단계를 진행하는 개발 방법론,폭포수 모형
보헴이 제시한 고전적 생명 주기 모형,폭포수 모형
가장 오래되고 폭넓게 사용된 전통적인 소프트웨어 생명 주기 모형,폭포수 모형
개발 과정에서 발생하는 요구사항을 반영하기 어려운 모형,폭포수 모형
사용자의 요구사항을 정확하기 파악하기 위해 실제 개발될 소프트웨어에 대한 시제품을 만들어 최종 결과물을 예측하는 모형,프로토타입 모형
시제품이 의뢰자가 개발자 모두에게 공통의 참조 모델이 된다,프로토타입 모형
"시스템의 일부 혹은 시스템 모형을 만드는 과정으로서 요구된 소프트웨어를 구현하는데, 이는 추후 구현 단계에서 사용될 골격 코드가 된다.",프로토타입 모형
"새로운 요구사항이 도출 될 때마다, 이를 반영한 프로토타입을 새롭게 만들면서 소프트웨어를 구현하는 방법이다",프로토타입 모형
단기간 제작 목적으로 인하여 비효율적인 언어나 알고리즘이 사용될 수 있다.,프로토타입 모형
"보헴이 제안한 것으로, 폭포수 모형과 프로토타입 모형의 장점에 위험분석 기능을 추가한 모형이다.",나선형 모형
나선을 따라 돌듯이 여러 번의 소프트웨어 개발 과정을 거쳐 점진적으로 완벽한 최종 소프트웨어를 개발하는 것이다.,나선형 모형
계획수립 -> 위험분석 -> 개발 및 검증 -> 고객 평가 과정이 반복적으로 수행된다.,나선형 모형
핵심 기술에 문제가 있거나 사용자의 요구사항이 이해하기 어려운 경우에 접합한 모델이다.,나선형 모형
고객의 요구사항 변화에 유연하게 대응할 수 있도록 일정한 주기를 반복하면서 개발과정을 진행하는 방식,에자일 모형
스크럼 기법은 어떠한 소프트웨어 개발 모형을 기반으로 하는가?,에자일 모형
칸반 기법은 어떠한 소프트웨어 개발 모형을 기반으로 하는가?,에자일 모형
XP 기법은 어떠한 소프트웨어 개발 모형을 기반으로 하는가?,에자일 모형
린 기법은 어떠한 소프트웨어 개발 모형을 기반으로 하는가?,에자일 모형
크리스탈 기법은 어떠한 소프트웨어 개발 모형을 기반으로 하는가?,에자일 모형
ASD 기법은 어떠한 소프트웨어 개발 모형을 기반으로 하는가?,에자일 모형
기능 중심 개발(FDD) 기법은 어떠한 소프트웨어 개발 모형을 기반으로 하는가?,에자일 모형
DSDM (Dinamic System Development Method) 기법은 어떠한 소프트웨어 개발 모형을 기반으로 하는가?,에자일 모형
DAD (Disciplined Agile Delivery) 기법은 어떠한 소프트웨어 개발 모형을 기반으로 하는가?,에자일 모형
애자일 원칙) 프로세스와 도구보다는 ___과 ______에 더 가치를 둔다,"개인, 상호작용"
애자일 원칙) 방대한 문서보다는 _____에 더 가치를 둔다 ,실행되는 SW
애자일 원칙) 계약 협상보다는 _____ 에 더 가치를 둔다,고객과 협업
애자일 원칙)계획을 따르기 보다는 ________것에 더 가치를 둔다 ,변화에 반응
수시로 발생하는 고객의 요구사항에 유연하게 대응하기 위해 고객의 참여와 개발과정의 반복을 극대화하여 개발 생산성을 향상시키는 방법.,eXtrem Programming (XP)
"짧고 반복적인 개발주기, 단순한 설계, 고객의 적극적인 참여를 통해 소프트웨어를 빠르게 개발하는 것을 목표로 한다",eXtrem Programming (XP)
자동화된 테스팅 도구를 사용하여 테스트를 지속적으로 수행한다 ,eXtrem Programming (XP)
"xP 의 핵심 가치) _____ 단순성, 용기, 존중, 피드백",의사소통
"xP 의 핵심 가치) 의사소통, _____, 용기, 존중, 피드백",단순성
"xP 의 핵심 가치)  의사소통 ,단순성, _____, 존중, 피드백 ",용기
"xP 의 핵심 가치) 의사소통, 단순성, 용기, ______, 피드백",존중
"xP 의 핵심 가치) 의사소통, 단순성, 용기, 존중, _____",피드백
xp 의 주요 실천 방법 : 다른사람과 함께 프로그래밍을 수행함으로써 개발에 대한 책임을 공동으로 나눠 갖는 환경을 조성하는 방법,짝 프로그래밍
xP의 주요 실천 방법 : 개발 코드에 대한 권한과 책임을 공동으로 소유함,공동 코드 소유
xP의 주요 실천 방법 : 모듈 단위로 나눠서 개발된 코드들은 하나의 작업이 마무리될 때마다 지속적으로 통합됨,계속적인 통합
"xP의 주요 실천 방법 : 프로그램 기능의 변경 없이, 단순화, 유연성 강화등을 통해 시스템의 내부 구졸르 재구성함",리팩토링
"자료 흐름도 (DFD) 에서 ""자료의 흐름(Data Flow)"" 표기 형태는 ?",화살표
"자료 흐름도 (DFD) 에서 ""프로세스(Process)"" 표기 형태는 ?",원
"자료 흐름도 (DFD) 에서 ""단말(Terminator)"" 표기 형태는 ?",사각형
"자료 흐름도 (DFD) 에서 ""자료 저장소(Data store)"" 표기 형태는 ?",직선(평행선)
"자료 사전의 표기 기호중  "" = "" 의 의미는 ?",자료의 정의 : ~로 구성되어 있다
"자료 사전의 표기 기호중  "" + "" 의 의미는 ?",자료의 연결 : 그리고(and)
"자료 사전의 표기 기호중  "" (   ) "" 의 의미는 ?",자료의 생략
"자료 사전의 표기 기호중  "" [ | ] "" 의 의미는 ?",자료의 선택 or
"자료 사전의 표기 기호중  "" {  } "" 의 의미는 ?",자료의 반복
"자료 사전의 표기 기호중  "" * * "" 의 의미는 ?",자료의 설명 : 주석
"시스템의 분석 및 설계나 문서화할 때 사용되는 기법으로, 시스템 실행 과정인 입력,처리,출력의 기능을 나타낸다. 하향식 소프트웨어 개발을 위한 문서화 도구이다",HIPO
"시스템 분석, 설계, 구현 등 시스템 개발 과정에서 개발자와 고객 또는 개발자 상호간의 의사소통이 원활하게 이루어지도록 표준화한 대표적인 객체지향 모델링 언어",UML
"UML 사물의 종류) _________, 행동 사물, 그룹 사물, 주해 사물",구조 사물
"UML 사물의 종류) 구조 사물, ________, 그룹 사물, 주해 사물",행동 사물
"UML 사물의 종류) 구조 사물, 행동 사물, ________, 주해 사물",그룹 사물
"UML 사물의 종류) 구조 사물, 행동 사물, 그룹 사물, _________",주해 사물
"구조적 (정적) 다이어그램의 종류 ) _______________, 객체 다이어그램, 컴포넌트 다이어그램, 배치 다이어그램, 복합체 구조 다이어그램, 패키지 다이어그램",클래스 다이어그램
"구조적 (정적) 다이어그램의 종류 ) 클래스 다이어그램, _______________, 컴포넌트 다이어그램, 배치 다이어그램, 복합체 구조 다이어그램, 패키지 다이어그램",객체 다이어그램
"구조적 (정적) 다이어그램의 종류 ) 클래스 다이어그램, 객체 다이어그램, _______________, 배치 다이어그램, 복합체 구조 다이어그램, 패키지 다이어그램",컴포넌트 다이어그램
"구조적 (정적) 다이어그램의 종류 ) 클래스 다이어그램, 객체 다이어그램, 컴포넌트 다이어그램, _______________, 복합체 구조 다이어그램, 패키지 다이어그램",배치 다이어그램
"구조적 (정적) 다이어그램의 종류 ) 클래스 다이어그램, 객체 다이어그램, 컴포넌트 다이어그램, 배치 다이어그램, _______________, 패키지 다이어그램",복합체 구조 다이어그램
"구조적 (정적) 다이어그램의 종류 ) 클래스 다이어그램, 객체 다이어그램, 컴포넌트 다이어그램, 배치 다이어그램, 복합체 구조 다이어그램, _______________",패키지 다이어그램
"행위(동적) 다이어그램의 종류 ) _______________, 순차 다이어그램, 커뮤니케이션 다이어그램, 상태 다이어그램, 활동 다이어그램, 상호작용 개요 다이어그램, 타이밍 다이어그램",유스케이스 다이어그램
"행위(동적) 다이어그램의 종류 ) 유스케이스 다이어그램, _______________ 커뮤니케이션 다이어그램, 상태 다이어그램, 활동 다이어그램, 상호작용 개요 다이어그램, 타이밍 다이어그램",순차 다이어그램
"행위(동적) 다이어그램의 종류 ) 유스케이스 다이어그램, 순차 다이어그램, _______________, 상태 다이어그램, 활동 다이어그램, 상호작용 개요 다이어그램, 타이밍 다이어그램",커뮤니케이션 다이어그램
"행위(동적) 다이어그램의 종류 ) 유스케이스 다이어그램, 순차 다이어그램, 커뮤니케이션 다이어그램, _______________, 활동 다이어그램, 상호작용 개요 다이어그램, 타이밍 다이어그램",상태 다이어그램
"행위(동적) 다이어그램의 종류 ) 유스케이스 다이어그램, 순차 다이어그램, 커뮤니케이션 다이어그램, 상태 다이어그램, _______________, 상호작용 개요 다이어그램, 타이밍 다이어그램",활동 다이어그램
"행위(동적) 다이어그램의 종류 ) 유스케이스 다이어그램, 순차 다이어그램, 커뮤니케이션 다이어그램, 상태 다이어그램, 활동 다이어그램,_______________, 타이밍 다이어그램",상호작용 개요 다이어그램
"행위(동적) 다이어그램의 종류 ) 유스케이스 다이어그램, 순차 다이어그램, 커뮤니케이션 다이어그램, 상태 다이어그램, 활동 다이어그램, 상호작용 개요 다이어그램, _______________",타이밍 다이어그램
하나의 객체가 자신이 속한 클래스의 상태 변화 혹은 다른 객체와의 상호작용에 따라 상태가 어떻게 변화하는지 표현한 다이어그램은?,상태 다이어그램
상태 다이어그램은 객체들 사이에서 발생하는 _______에 의한 객체들의 상태변화를 그림으로 표현한다,이벤트
UML 에서 표현하는 기본 기능 외에 추가적인 기능을 표현하기 위해 사용하는 것,스테레오 타입
스테레오 타입 객체를 표현할 때 사용하는 기호는?,<<>>
럼바우의 객체지향 분석 절차는?,객체 - 동적 - 기능
유스케이스 다이어그램의 구성요소 중) 시스템 내부에서 수행되는 기능들을 외부 시스템과 구분하기 위해 시스템 내부의 유스케이스들을 사각형으로 묶어 시스템의 범위를 표현한 것,시스템 / 시스템 범위
유스케이스 다이어그램의 구성요소 중) 시스템과 상호작용을 하는 모든 외부요소로 사람이나 외부 시스템을 의미하는 것은,액터
유스케이스 다이어그램의 구성요소 중) 사용자가 보는 관점에서 시스템이 액터에게 재공하는 서비스 또는 그 기능을 표현한 것,유스케이스
"시스템이나 객체들이 메세지를 주고 받으며 시간의 흐름에 따라 상호작용하는 과정을 액터, 객체, 메시지 등의 요소를 사용하여 그림으로 표현한 것은?",순차다이어그램
순차 다이어그램은 시스템이나 객체들의 상호작용 과정에서 주고받는 ______를 표현한다,메시지
순차 다이어그램에서 수직 방향은 _______을 나타낸다,시간의 흐름
"순차 다이어그램의 구성요소) _____, 객체, 생명선, 실행 상자, 메시지, 회귀 메시지, 제어 블록",액터
"순차 다이어그램의 구성요소) 액터, ______, 생명선, 실행 상자, 메시지, 회귀 메시지, 제어 블록",객체
"순차 다이어그램의 구성요소) 액터, 객체, ______, 실행 상자, 메시지, 회귀 메시지, 제어 블록",생명선
"순차 다이어그램의 구성요소) 액터, 객체, 생명선, ______, 메시지, 회귀 메시지, 제어 블록",실행 상자
"순차 다이어그램의 구성요소) 액터, 객체, 생명선, 실행 상자, ______, 회귀 메시지, 제어 블록",메시지
"순차 다이어그램의 구성요소) 액터, 객체, 생명선, 실행 상자, 메시지, ______, 제어 블록",회쉬 메시지
"순차 다이어그램의 구성요소) 액터, 객체, 생명선, 실행 상자, 메시지, 회귀 메시지, ______",제어블록
서로 다른 두 시스템이나 소프트웨어 등을 서로 이어주는 부분 또는 접속장치를 의미하는 것,인터페이스
사용자 인터페이스 중 명령과 출력이 텍스트 형태로 이뤄지는 인터페이스,CLI
사용자 인터페이스 중 아이콘이나 메뉴를 마우스로 선택하여 작업을 수행하는 그래픽 환경의 인터페이스,GUI
사용자 인터페이스 중 사용자의 말이나 행동으로 기기를 조작하는 인터페이스,NUI
